,Question,Abstract,Answer
56,Why did Arthur Dent move out of London?,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9",Arthur Dent moved out of London because it made him nervous and irritable.
57,What did Arthur Dent see outside his kitchen window that caught his attention?,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9",Arthur Dent saw a big yellow bulldozer outside his kitchen window that caught his attention.
58,What did Arthur Dent suspect about his condition when he woke up on Thursday morning?,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9",Arthur Dent suspected that he was hung over when he woke up on Thursday morning.
59,Describe the appearance of the house where Arthur Dent lived.,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9","The house where Arthur Dent lived was described as not remarkable, about thirty years old, squattish, squarish, made of brick, and had four windows set in the front that failed to please the eye."
60,What was the council's plan for Arthur Dent's house?,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9",The council's plan for Arthur Dent's house was to knock it down and build a bypass instead.
61,What was Arthur Dent's occupation and how did he feel about it compared to his friends' jobs?,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9","Arthur Dent's occupation was working in local radio. He felt that his job was more interesting than his friends' jobs, most of whom worked in advertising."
62,What did Arthur Dent see in the shaving mirror that made him realize he might be hung over?,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9","Arthur Dent saw his bristles in the shaving mirror, which made him realize he might be hung over."
63,What was Arthur Dent's initial reaction upon seeing the bulldozer outside his house?,"Chapter 1
The house stood on a slight rise just on the edge of the village. It stood on its
own and looked over a broad spread of West Country farmland. Not a remark-
able house by any means - it was about thirty years old, squattish, squarish,
made of brick, and had four windows set in the front of a size and proportion
which more or less exactly failed to please the eye.
The only person for whom the house was in any way special was Arthur
Dent, and that was only because it happened to be the one he lived in. He
had lived in it for about three years, ever since he had moved out of London
because it made him nervous and irritable. He was about thirty as well, dark
haired and never quite at ease with himself. The thing that used to worry him
most was the fact that people always used to ask him what he was looking so
worried about. He worked in local radio which he always used to tell his friends
was a lot more interesting than they probably thought. It was, too - most of
his friends worked in advertising.
It hadn’t properly registered with Arthur that the council wanted to knock
down his house and build an bypass instead.
At eight o’clock on Thursday morning Arthur didn’t feel very good. He woke
up blearily, got up, wandered blearily round his room, opened a window, saw a
bulldozer, found his slippers, and stomped oﬀ to the bathroom to wash.
Toothpaste on the brush - so. Scrub.
Shaving mirror-pointing at the ceiling. He adjusted it. For a moment it
reﬂected a second bulldozer through the bathroom window. Properly adjusted,
it reﬂected Arthur Dent’s bristles. He shaved them oﬀ, washed, dried, and
stomped oﬀ to the kitchen to ﬁnd something pleasant to put in his mouth.
Kettle, plug, fridge, milk, coﬀee. Yawn.
The word bulldozer wandered through his mind for a moment in search of
something to connect with.
The bulldozer outside the kitchen window was quite a big one.
He stared at it.
- Yellow, - he thought and stomped oﬀ back to his bedroom to get dressed.
Passing the bathroom he stopped to drink a large glass of water, and another.
He began to suspect that he was hung over. Why was he hung over? Had he
been drinking the night before? He supposed that he must have been. He
caught a glint in the shaving mirror. ”Yellow,” he thought and stomped on to
the bedroom.
He stood and thought. The pub, he thought. Oh dear, the pub. He vaguely
remembered being angry, angry about something that seemed important. He’d
9","Arthur Dent's initial reaction upon seeing the bulldozer outside his house was to think ""Yellow"" and then stomp off back to his bedroom to get dressed."
64,What was Mr. L Prosser's job and why was he particularly nervous and worried on that day?,"10 CHAPTER 1.
been telling people about it, telling people about it at great length, he rather
suspected: his clearest visual recollection was of glazed looks on other people’s
faces. Something about a new bypass he had just found out about. It had
been in the pipeline for months only no one seemed to have known about it.
Ridiculous. He took a swig of water. It would sort itself out, he’d decided, no
one wanted a bypass, the council didn’t have a leg to stand on. It would sort
itself out.
God what a terrible hangover it had earned him though. He looked at himself
in the wardrobe mirror. He stuck out his tongue. ”Yellow,” he thought. The
word yellow wandered through his mind in search of something to connect with.
Fifteen seconds later he was out of the house and lying in front of a big
yellow bulldozer that was advancing up his garden path.
Mr. L Prosser was, as they say, only human. In other words he was a
carbon-based life form descended from an ape. More speciﬁcally he was forty,
fat and shabby and worked for the local council. Curiously enough, though
he didn’t know it, he was also a direct male-line descendant of Genghis Khan,
though intervening generations and racial mixing had so juggled his genes that
he had no discernible Mongoloid characteristics, and the only vestiges left in
Mr. L Prosser of his mighty ancestry were a pronounced stoutness about the
tum and a predilection for little fur hats.
He was by no means a great warrior: in fact he was a nervous worried man.
Today he was particularly nervous and worried because something had gone
seriously wrong with his job - which was to see that Arthur Dent’s house got
cleared out of the way before the day was out.
- Come oﬀ it, Mr. Dent, - he said, - you can’t win you know. You can’t lie
in front of the bulldozer indeﬁnitely. - He tried to make his eyes blaze ﬁercely
but they just wouldn’t do it.
Arthur lay in the mud and squelched at him.
- I’m game, - he said, - we’ll see who rusts ﬁrst.
- I’m afraid you’re going to have to accept it, - said Mr. Prosser gripping
his fur hat and rolling it round the top of his head, - this bypass has got to be
built and it’s going to be built!
- First I’ve heard of it, - said Arthur, - why’s it going to be built?
Mr. Prosser shook his ﬁnger at him for a bit, then stopped and put it away
again.
- What do you mean, why’s it got to be built? - he said. - It’s a bypass.
You’ve got to build bypasses.
Bypasses are devices which allow some people to drive from point A to point
B very fast whilst other people dash from point B to point A very fast. People
living at point C, being a point directly in between, are often given to wonder
what’s so great about point A that so many people of point B are so keen to
get there, and what’s so great about point B that so many people of point A
are so keen to get there. They often wish that people would just once and for
all work out where the hell they wanted to be.
Mr. Prosser wanted to be at point D. Point D wasn’t anywhere in particular,
it was just any convenient point a very long way from points A, B and C. He
would have a nice little cottage at point D, with axes over the door, and spend
a pleasant amount of time at point E, which would be the nearest pub to point
D. His wife of course wanted climbing roses, but he wanted axes. He didn’t",Mr. L Prosser's job was to see that Arthur Dent's house got cleared out of the way before the day was out. He was particularly nervous and worried on that day because something had gone seriously wrong with his job.
65,Describe Mr. L Prosser's physical appearance and his personality traits as mentioned in the text.,"10 CHAPTER 1.
been telling people about it, telling people about it at great length, he rather
suspected: his clearest visual recollection was of glazed looks on other people’s
faces. Something about a new bypass he had just found out about. It had
been in the pipeline for months only no one seemed to have known about it.
Ridiculous. He took a swig of water. It would sort itself out, he’d decided, no
one wanted a bypass, the council didn’t have a leg to stand on. It would sort
itself out.
God what a terrible hangover it had earned him though. He looked at himself
in the wardrobe mirror. He stuck out his tongue. ”Yellow,” he thought. The
word yellow wandered through his mind in search of something to connect with.
Fifteen seconds later he was out of the house and lying in front of a big
yellow bulldozer that was advancing up his garden path.
Mr. L Prosser was, as they say, only human. In other words he was a
carbon-based life form descended from an ape. More speciﬁcally he was forty,
fat and shabby and worked for the local council. Curiously enough, though
he didn’t know it, he was also a direct male-line descendant of Genghis Khan,
though intervening generations and racial mixing had so juggled his genes that
he had no discernible Mongoloid characteristics, and the only vestiges left in
Mr. L Prosser of his mighty ancestry were a pronounced stoutness about the
tum and a predilection for little fur hats.
He was by no means a great warrior: in fact he was a nervous worried man.
Today he was particularly nervous and worried because something had gone
seriously wrong with his job - which was to see that Arthur Dent’s house got
cleared out of the way before the day was out.
- Come oﬀ it, Mr. Dent, - he said, - you can’t win you know. You can’t lie
in front of the bulldozer indeﬁnitely. - He tried to make his eyes blaze ﬁercely
but they just wouldn’t do it.
Arthur lay in the mud and squelched at him.
- I’m game, - he said, - we’ll see who rusts ﬁrst.
- I’m afraid you’re going to have to accept it, - said Mr. Prosser gripping
his fur hat and rolling it round the top of his head, - this bypass has got to be
built and it’s going to be built!
- First I’ve heard of it, - said Arthur, - why’s it going to be built?
Mr. Prosser shook his ﬁnger at him for a bit, then stopped and put it away
again.
- What do you mean, why’s it got to be built? - he said. - It’s a bypass.
You’ve got to build bypasses.
Bypasses are devices which allow some people to drive from point A to point
B very fast whilst other people dash from point B to point A very fast. People
living at point C, being a point directly in between, are often given to wonder
what’s so great about point A that so many people of point B are so keen to
get there, and what’s so great about point B that so many people of point A
are so keen to get there. They often wish that people would just once and for
all work out where the hell they wanted to be.
Mr. Prosser wanted to be at point D. Point D wasn’t anywhere in particular,
it was just any convenient point a very long way from points A, B and C. He
would have a nice little cottage at point D, with axes over the door, and spend
a pleasant amount of time at point E, which would be the nearest pub to point
D. His wife of course wanted climbing roses, but he wanted axes. He didn’t","Mr. L Prosser is described as a forty-year-old, fat, and shabby man who works for the local council. He is nervous, worried, and not a great warrior. Despite his appearance, he is also mentioned to be a direct male-line descendant of Genghis Khan, with some stoutness around the tum and a predilection for little fur hats."
66,Explain the concept of a bypass as described in the passage and why Mr. Prosser believed it needed to be built.,"10 CHAPTER 1.
been telling people about it, telling people about it at great length, he rather
suspected: his clearest visual recollection was of glazed looks on other people’s
faces. Something about a new bypass he had just found out about. It had
been in the pipeline for months only no one seemed to have known about it.
Ridiculous. He took a swig of water. It would sort itself out, he’d decided, no
one wanted a bypass, the council didn’t have a leg to stand on. It would sort
itself out.
God what a terrible hangover it had earned him though. He looked at himself
in the wardrobe mirror. He stuck out his tongue. ”Yellow,” he thought. The
word yellow wandered through his mind in search of something to connect with.
Fifteen seconds later he was out of the house and lying in front of a big
yellow bulldozer that was advancing up his garden path.
Mr. L Prosser was, as they say, only human. In other words he was a
carbon-based life form descended from an ape. More speciﬁcally he was forty,
fat and shabby and worked for the local council. Curiously enough, though
he didn’t know it, he was also a direct male-line descendant of Genghis Khan,
though intervening generations and racial mixing had so juggled his genes that
he had no discernible Mongoloid characteristics, and the only vestiges left in
Mr. L Prosser of his mighty ancestry were a pronounced stoutness about the
tum and a predilection for little fur hats.
He was by no means a great warrior: in fact he was a nervous worried man.
Today he was particularly nervous and worried because something had gone
seriously wrong with his job - which was to see that Arthur Dent’s house got
cleared out of the way before the day was out.
- Come oﬀ it, Mr. Dent, - he said, - you can’t win you know. You can’t lie
in front of the bulldozer indeﬁnitely. - He tried to make his eyes blaze ﬁercely
but they just wouldn’t do it.
Arthur lay in the mud and squelched at him.
- I’m game, - he said, - we’ll see who rusts ﬁrst.
- I’m afraid you’re going to have to accept it, - said Mr. Prosser gripping
his fur hat and rolling it round the top of his head, - this bypass has got to be
built and it’s going to be built!
- First I’ve heard of it, - said Arthur, - why’s it going to be built?
Mr. Prosser shook his ﬁnger at him for a bit, then stopped and put it away
again.
- What do you mean, why’s it got to be built? - he said. - It’s a bypass.
You’ve got to build bypasses.
Bypasses are devices which allow some people to drive from point A to point
B very fast whilst other people dash from point B to point A very fast. People
living at point C, being a point directly in between, are often given to wonder
what’s so great about point A that so many people of point B are so keen to
get there, and what’s so great about point B that so many people of point A
are so keen to get there. They often wish that people would just once and for
all work out where the hell they wanted to be.
Mr. Prosser wanted to be at point D. Point D wasn’t anywhere in particular,
it was just any convenient point a very long way from points A, B and C. He
would have a nice little cottage at point D, with axes over the door, and spend
a pleasant amount of time at point E, which would be the nearest pub to point
D. His wife of course wanted climbing roses, but he wanted axes. He didn’t",The concept of a bypass as described in the passage is a road that allows some people to travel quickly from one point to another while others do the same in the opposite direction. Mr. Prosser believed the bypass needed to be built because it was a necessary device for efficient transportation and traffic flow.
67,How did Arthur Dent react to the situation of a bulldozer advancing towards his house?,"10 CHAPTER 1.
been telling people about it, telling people about it at great length, he rather
suspected: his clearest visual recollection was of glazed looks on other people’s
faces. Something about a new bypass he had just found out about. It had
been in the pipeline for months only no one seemed to have known about it.
Ridiculous. He took a swig of water. It would sort itself out, he’d decided, no
one wanted a bypass, the council didn’t have a leg to stand on. It would sort
itself out.
God what a terrible hangover it had earned him though. He looked at himself
in the wardrobe mirror. He stuck out his tongue. ”Yellow,” he thought. The
word yellow wandered through his mind in search of something to connect with.
Fifteen seconds later he was out of the house and lying in front of a big
yellow bulldozer that was advancing up his garden path.
Mr. L Prosser was, as they say, only human. In other words he was a
carbon-based life form descended from an ape. More speciﬁcally he was forty,
fat and shabby and worked for the local council. Curiously enough, though
he didn’t know it, he was also a direct male-line descendant of Genghis Khan,
though intervening generations and racial mixing had so juggled his genes that
he had no discernible Mongoloid characteristics, and the only vestiges left in
Mr. L Prosser of his mighty ancestry were a pronounced stoutness about the
tum and a predilection for little fur hats.
He was by no means a great warrior: in fact he was a nervous worried man.
Today he was particularly nervous and worried because something had gone
seriously wrong with his job - which was to see that Arthur Dent’s house got
cleared out of the way before the day was out.
- Come oﬀ it, Mr. Dent, - he said, - you can’t win you know. You can’t lie
in front of the bulldozer indeﬁnitely. - He tried to make his eyes blaze ﬁercely
but they just wouldn’t do it.
Arthur lay in the mud and squelched at him.
- I’m game, - he said, - we’ll see who rusts ﬁrst.
- I’m afraid you’re going to have to accept it, - said Mr. Prosser gripping
his fur hat and rolling it round the top of his head, - this bypass has got to be
built and it’s going to be built!
- First I’ve heard of it, - said Arthur, - why’s it going to be built?
Mr. Prosser shook his ﬁnger at him for a bit, then stopped and put it away
again.
- What do you mean, why’s it got to be built? - he said. - It’s a bypass.
You’ve got to build bypasses.
Bypasses are devices which allow some people to drive from point A to point
B very fast whilst other people dash from point B to point A very fast. People
living at point C, being a point directly in between, are often given to wonder
what’s so great about point A that so many people of point B are so keen to
get there, and what’s so great about point B that so many people of point A
are so keen to get there. They often wish that people would just once and for
all work out where the hell they wanted to be.
Mr. Prosser wanted to be at point D. Point D wasn’t anywhere in particular,
it was just any convenient point a very long way from points A, B and C. He
would have a nice little cottage at point D, with axes over the door, and spend
a pleasant amount of time at point E, which would be the nearest pub to point
D. His wife of course wanted climbing roses, but he wanted axes. He didn’t","Arthur Dent reacted to the situation of a bulldozer advancing towards his house by lying in the mud and challenging Mr. Prosser, stating that they would see who rusts first. He was determined to resist the bulldozer and the construction of the bypass."
68,Discuss the internal conflict Mr. Prosser faced regarding his desired location to live and his wife's preferences.,"10 CHAPTER 1.
been telling people about it, telling people about it at great length, he rather
suspected: his clearest visual recollection was of glazed looks on other people’s
faces. Something about a new bypass he had just found out about. It had
been in the pipeline for months only no one seemed to have known about it.
Ridiculous. He took a swig of water. It would sort itself out, he’d decided, no
one wanted a bypass, the council didn’t have a leg to stand on. It would sort
itself out.
God what a terrible hangover it had earned him though. He looked at himself
in the wardrobe mirror. He stuck out his tongue. ”Yellow,” he thought. The
word yellow wandered through his mind in search of something to connect with.
Fifteen seconds later he was out of the house and lying in front of a big
yellow bulldozer that was advancing up his garden path.
Mr. L Prosser was, as they say, only human. In other words he was a
carbon-based life form descended from an ape. More speciﬁcally he was forty,
fat and shabby and worked for the local council. Curiously enough, though
he didn’t know it, he was also a direct male-line descendant of Genghis Khan,
though intervening generations and racial mixing had so juggled his genes that
he had no discernible Mongoloid characteristics, and the only vestiges left in
Mr. L Prosser of his mighty ancestry were a pronounced stoutness about the
tum and a predilection for little fur hats.
He was by no means a great warrior: in fact he was a nervous worried man.
Today he was particularly nervous and worried because something had gone
seriously wrong with his job - which was to see that Arthur Dent’s house got
cleared out of the way before the day was out.
- Come oﬀ it, Mr. Dent, - he said, - you can’t win you know. You can’t lie
in front of the bulldozer indeﬁnitely. - He tried to make his eyes blaze ﬁercely
but they just wouldn’t do it.
Arthur lay in the mud and squelched at him.
- I’m game, - he said, - we’ll see who rusts ﬁrst.
- I’m afraid you’re going to have to accept it, - said Mr. Prosser gripping
his fur hat and rolling it round the top of his head, - this bypass has got to be
built and it’s going to be built!
- First I’ve heard of it, - said Arthur, - why’s it going to be built?
Mr. Prosser shook his ﬁnger at him for a bit, then stopped and put it away
again.
- What do you mean, why’s it got to be built? - he said. - It’s a bypass.
You’ve got to build bypasses.
Bypasses are devices which allow some people to drive from point A to point
B very fast whilst other people dash from point B to point A very fast. People
living at point C, being a point directly in between, are often given to wonder
what’s so great about point A that so many people of point B are so keen to
get there, and what’s so great about point B that so many people of point A
are so keen to get there. They often wish that people would just once and for
all work out where the hell they wanted to be.
Mr. Prosser wanted to be at point D. Point D wasn’t anywhere in particular,
it was just any convenient point a very long way from points A, B and C. He
would have a nice little cottage at point D, with axes over the door, and spend
a pleasant amount of time at point E, which would be the nearest pub to point
D. His wife of course wanted climbing roses, but he wanted axes. He didn’t","Mr. Prosser faced an internal conflict between his desired location to live, which was at point D, and his wife's preference for climbing roses. He envisioned a nice little cottage at point D with axes over the door, while his wife wanted climbing roses. This conflict highlights the differing priorities and desires between Mr. Prosser and his wife in terms of their ideal living situation."
