,Question,Abstract
179,What is the significance of Zaphod Beeblebrox's two hundredth birthday in relation to his Presidency?,"28 CHAPTER 4.
No one had gone bananas, not in that way at least.
Only six people in the entire Galaxy understood the principle on which
the Galaxy was governed, and they knew that once Zaphod Beeblebrox had
announced his intention to run as President it was more or less a fait accompli:
he was the ideal Presidency fodder
President : full title President of the Imperial Galactic Government. The
term Imperial is kept though it is now an anachronism. The hereditary Emperor
is nearly dead and has been so for many centuries. In the last moments of his
dying coma he was locked in a statis ﬁeld which keeps him in a state of perpetual
unchangingness. All his heirs are now long dead, and this means that without
any drastic political upheaval, power has simply and eﬀectively moved a rung or
two down the ladder, and is now seen to be vested in a body which used to act
simply as advisers to the Emperor - an elected Governmental assembly headed
by a President elected by that assembly. In fact it vests in no such place.
The President in particular is very much a ﬁgurehead - he wields no real
power whatsoever. He is apparently chosen by the government, but the qualities
he is required to display are not those of leadership but those of ﬁnely judged
outrage. For this reason the President is always a controversial choice, always
an infuriating but fascinating character. His job is not to wield power but to
draw attention away from it. On those criteria Zaphod Beeblebrox is one of the
most successful Presidents the Galaxy has ever had - he has already spent two
of his ten Presidential years in prison for fraud. Very very few people realize
that the President and the Government have virtually no power at all, and of
these very few people only six know whence ultimate political power is wielded.
Most of the others secretly believe that the ultimate decision-making process is
handled by a computer. They couldn’t be more wrong.¿
What they completely failed to understand was why Zaphod was doing it.
He banked sharply, shooting a wild wall of water at the sun.
Today was the day; today was the day when they would realize what Zaphod
had been up to. Today was what Zaphod Beeblebrox’s Presidency was all
about. Today was also his two hundredth birthday, but that was just another
meaningless coincidence.
As he skipped his boat across the seas of Damogran he smiled quietly to
himself about what a wonderful exciting day it was going to be. He relaxed and
spread his two arms lazily across the seat back. He steered with an extra arm
he’d recently ﬁtted just beneath his right one to help improve his ski-boxing.
- Hey, - he cooed to himself, - you’re a real cool boy you. - But his nerves
sang a song shriller than a dog whistle.
The island of France was about twenty miles long, ﬁve miles across the
middle, sandy and crescent shaped. In fact it seemed to exist not so much as
an island in its own right as simply a means of deﬁning the sweep and curve of
a huge bay. This impression was heightened by the fact that the inner coastline
of the crescent consisted almost entirely of steep cliﬀs. From the top of the cliﬀ
the land sloped slowly down ﬁve miles to the opposite shore.
On top of the cliﬀs stood a reception committee.
It consisted in large part of the engineers and researchers who had built the
Heart of Gold - mostly humanoid, but here and there were a few reptiloid atom-
ineers, two or three green slyph-like maximegalacticans, an octopoid physuc-
turalist or two and a Hooloovoo (a Hooloovoo is a super-intelligent shade of the
color blue). All except the Hooloovoo were resplendent in their multicolored"
180,Who makes up the reception committee on the island of France and what are their roles in relation to the Heart of Gold?,"28 CHAPTER 4.
No one had gone bananas, not in that way at least.
Only six people in the entire Galaxy understood the principle on which
the Galaxy was governed, and they knew that once Zaphod Beeblebrox had
announced his intention to run as President it was more or less a fait accompli:
he was the ideal Presidency fodder
President : full title President of the Imperial Galactic Government. The
term Imperial is kept though it is now an anachronism. The hereditary Emperor
is nearly dead and has been so for many centuries. In the last moments of his
dying coma he was locked in a statis ﬁeld which keeps him in a state of perpetual
unchangingness. All his heirs are now long dead, and this means that without
any drastic political upheaval, power has simply and eﬀectively moved a rung or
two down the ladder, and is now seen to be vested in a body which used to act
simply as advisers to the Emperor - an elected Governmental assembly headed
by a President elected by that assembly. In fact it vests in no such place.
The President in particular is very much a ﬁgurehead - he wields no real
power whatsoever. He is apparently chosen by the government, but the qualities
he is required to display are not those of leadership but those of ﬁnely judged
outrage. For this reason the President is always a controversial choice, always
an infuriating but fascinating character. His job is not to wield power but to
draw attention away from it. On those criteria Zaphod Beeblebrox is one of the
most successful Presidents the Galaxy has ever had - he has already spent two
of his ten Presidential years in prison for fraud. Very very few people realize
that the President and the Government have virtually no power at all, and of
these very few people only six know whence ultimate political power is wielded.
Most of the others secretly believe that the ultimate decision-making process is
handled by a computer. They couldn’t be more wrong.¿
What they completely failed to understand was why Zaphod was doing it.
He banked sharply, shooting a wild wall of water at the sun.
Today was the day; today was the day when they would realize what Zaphod
had been up to. Today was what Zaphod Beeblebrox’s Presidency was all
about. Today was also his two hundredth birthday, but that was just another
meaningless coincidence.
As he skipped his boat across the seas of Damogran he smiled quietly to
himself about what a wonderful exciting day it was going to be. He relaxed and
spread his two arms lazily across the seat back. He steered with an extra arm
he’d recently ﬁtted just beneath his right one to help improve his ski-boxing.
- Hey, - he cooed to himself, - you’re a real cool boy you. - But his nerves
sang a song shriller than a dog whistle.
The island of France was about twenty miles long, ﬁve miles across the
middle, sandy and crescent shaped. In fact it seemed to exist not so much as
an island in its own right as simply a means of deﬁning the sweep and curve of
a huge bay. This impression was heightened by the fact that the inner coastline
of the crescent consisted almost entirely of steep cliﬀs. From the top of the cliﬀ
the land sloped slowly down ﬁve miles to the opposite shore.
On top of the cliﬀs stood a reception committee.
It consisted in large part of the engineers and researchers who had built the
Heart of Gold - mostly humanoid, but here and there were a few reptiloid atom-
ineers, two or three green slyph-like maximegalacticans, an octopoid physuc-
turalist or two and a Hooloovoo (a Hooloovoo is a super-intelligent shade of the
color blue). All except the Hooloovoo were resplendent in their multicolored"
181,How does the description of the island of France contribute to the overall setting and atmosphere of the story?,"28 CHAPTER 4.
No one had gone bananas, not in that way at least.
Only six people in the entire Galaxy understood the principle on which
the Galaxy was governed, and they knew that once Zaphod Beeblebrox had
announced his intention to run as President it was more or less a fait accompli:
he was the ideal Presidency fodder
President : full title President of the Imperial Galactic Government. The
term Imperial is kept though it is now an anachronism. The hereditary Emperor
is nearly dead and has been so for many centuries. In the last moments of his
dying coma he was locked in a statis ﬁeld which keeps him in a state of perpetual
unchangingness. All his heirs are now long dead, and this means that without
any drastic political upheaval, power has simply and eﬀectively moved a rung or
two down the ladder, and is now seen to be vested in a body which used to act
simply as advisers to the Emperor - an elected Governmental assembly headed
by a President elected by that assembly. In fact it vests in no such place.
The President in particular is very much a ﬁgurehead - he wields no real
power whatsoever. He is apparently chosen by the government, but the qualities
he is required to display are not those of leadership but those of ﬁnely judged
outrage. For this reason the President is always a controversial choice, always
an infuriating but fascinating character. His job is not to wield power but to
draw attention away from it. On those criteria Zaphod Beeblebrox is one of the
most successful Presidents the Galaxy has ever had - he has already spent two
of his ten Presidential years in prison for fraud. Very very few people realize
that the President and the Government have virtually no power at all, and of
these very few people only six know whence ultimate political power is wielded.
Most of the others secretly believe that the ultimate decision-making process is
handled by a computer. They couldn’t be more wrong.¿
What they completely failed to understand was why Zaphod was doing it.
He banked sharply, shooting a wild wall of water at the sun.
Today was the day; today was the day when they would realize what Zaphod
had been up to. Today was what Zaphod Beeblebrox’s Presidency was all
about. Today was also his two hundredth birthday, but that was just another
meaningless coincidence.
As he skipped his boat across the seas of Damogran he smiled quietly to
himself about what a wonderful exciting day it was going to be. He relaxed and
spread his two arms lazily across the seat back. He steered with an extra arm
he’d recently ﬁtted just beneath his right one to help improve his ski-boxing.
- Hey, - he cooed to himself, - you’re a real cool boy you. - But his nerves
sang a song shriller than a dog whistle.
The island of France was about twenty miles long, ﬁve miles across the
middle, sandy and crescent shaped. In fact it seemed to exist not so much as
an island in its own right as simply a means of deﬁning the sweep and curve of
a huge bay. This impression was heightened by the fact that the inner coastline
of the crescent consisted almost entirely of steep cliﬀs. From the top of the cliﬀ
the land sloped slowly down ﬁve miles to the opposite shore.
On top of the cliﬀs stood a reception committee.
It consisted in large part of the engineers and researchers who had built the
Heart of Gold - mostly humanoid, but here and there were a few reptiloid atom-
ineers, two or three green slyph-like maximegalacticans, an octopoid physuc-
turalist or two and a Hooloovoo (a Hooloovoo is a super-intelligent shade of the
color blue). All except the Hooloovoo were resplendent in their multicolored"
182,What is the significance of the orange sash worn by the President of the Galaxy?,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
183,How does Zaphod Beeblebrox attract attention away from wielding power as the Galactic President?,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
184,Describe the appearance of Zaphod Beeblebrox and his unique features.,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
185,How does Zaphod create a dramatic entrance with his Presidential speedboat?,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
186,What is the purpose of the transparent globe floating next to Zaphod's boat?,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
187,How does Zaphod's behavior on the sofa inside the globe contribute to his image as the President of the Galaxy?,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
188,What is the role of the small robot tri-D camera in capturing Zaphod's antics for the audience?,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
189,How does Zaphod's love for effect and showmanship influence his actions during the event?,"29
ceremonial lab coats; the Hooloovoo had been temporarily refracted into a free
standing prism for the occasion.
There was a mood of immense excitement thrilling through all of them. To-
gether and between them they had gone to and beyond the furthest limits of
physical laws, restructured the fundamental fabric of matter, strained, twisted
and broken the laws of possibility and impossibility, but still the greatest ex-
citement of all seemed to be to meet a man with an orange sash round his neck.
(An orange sash was what the President of the Galaxy traditionally wore.) It
might not even have made much diﬀerence to them if they’d known exactly how
much power the President of the Galaxy actually wielded: none at all. Only six
people in the Galaxy knew that the job of the Galactic President was not to
wield power but to attract attention away from it.
Zaphod Beeblebrox was amazingly good at his job.
The crowd gasped, dazzled by sun and seemanship, as the Presidential speed-
boat zipped round the headland into the bay. It ﬂashed and shone as it came
skating over the sea in wide skidding turns.
In fact it didn’t need to touch the water at all, because it was supported
on a hazy cushion of ionized atoms - but just for eﬀect it was ﬁtted with thin
ﬁnblades which could be lowered into the water. They slashed sheets of water
hissing into the air, carved deep gashes into the sea which swayed crazily and
sank back foaming into the boat’s wake as it careered across the bay.
Zaphod loved eﬀect: it was what he was best at.
He twisted the wheel sharply, the boat slewed round in a wild scything skid
beneath the cliﬀ face and dropped to rest lightly on the rocking waves.
Within seconds he ran out onto the deck and waved and grinned at over
three billion people. The three billion people weren’t actually there, but they
watched his every gesture through the eyes of a small robot tri-D camera which
hovered obsequiously in the air nearby. The antics of the President always made
amazingly popular tri-D; that’s what they were for.
He grinned again. Three billion and six people didn’t know it, but today
would be a bigger antic than anyone had bargained for.
The robot camera homed in for a close up on the more popular of his two
heads and he waved again. He was roughly humanoid in appearance except
for the extra head and third arm. His fair tousled hair stuck out in random
directions, his blue eyes glinted with something completely unidentiﬁable, and
his chins were almost always unshaven.
A twenty-foot-high transparent globe ﬂoated next to his boat, rolling and
bobbing, glistening in the brilliant sun. Inside it ﬂoated a wide semi-circular
sofa upholstered in glorious red leather: the more the globe bobbed and rolled,
the more the sofa stayed perfectly still, steady as an upholstered rock. Again,
all done for eﬀect as much as anything.
Zaphod stepped through the wall of the globe and relaxed on the sofa. He
spread his two arms lazily along the back and with the third brushed some
dust oﬀ his knee. His heads looked about, smiling; he put his feet up. At any
moment, he thought, he might scream.
Water boiled up beneath the bubble, it seethed and spouted. The bubble
surged into the air, bobbing and rolling on the water spout. Up, up it climbed,
throwing stilts of light at the cliﬀ. Up it surged on the jet, the water falling
from beneath it, crashing back into the sea hundreds of feet below.
Zaphod smiled, picturing himself."
